id,emotion,en,kn,mr,tTa
p025,fear,"I'm too scared to even move.","ನನಗೆ ಚಲಿಸಲು ಸಹ ತುಂಬಾ ಭಯವಾಗುತ್ತಿದೆ.","मला हलायला सुद्धा खूप भीती वाटते.","நகர்வதற்குக் கூட எனக்கு மிகவும் பயமாக இருக்கிறது."
p026,fear,"What if something awful happens?","ಏನಾದರೂ ಭಯಾನಕವಾದರೆ ಏನು ಮಾಡುವುದು?","जर काहीतरी भयंकर घडले तर?","ஏதாவது பயங்கரமான சம்பவம் நடந்தால் என்ன செய்வது?"
p027,fear,"I can't shake this feeling of dread.","ಈ ಭಯದ ಭಾವನೆಯನ್ನು ನಾನು 떨쳐ಹಾಕಲು ಸಾಧ್ಯವಿಲ್ಲ.","मी ही भीतीची भावना झटकू शकत नाही.","இந்த பயத்தின் உணர்வை என்னால் அசைக்க முடியவில்லை."
p028,fear,"There's someone watching us, I can feel it.","ಯಾರೋ ನಮ್ಮನ್ನು ನೋಡುತ್ತಿದ್ದಾರೆ, ನನಗೆ ಅದು ಅನುಭವವಾಗುತ್ತಿದೆ.","कोणीतरी आपल्यावर लक्ष ठेवून आहे, मला ते जाणवते.","யாரோ நம்மைக் கவனிக்கிறார்கள், என்னால் அதை உணர முடிகிறது."
p029,fear,"I'm genuinely terrified of what's next.","ಮುಂದೆ ಏನಾಗುವುದೋ ಎಂದು ನಾನು ನಿಜವಾಗಿಯೂ ಭಯಭೀತನಾಗಿದ್ದೇನೆ.","पुढे काय होईल याची मला खरोखरच भीती वाटते.","அடுத்து என்ன நடக்கும் என்று நான் உண்மையிலேயே பயப்படுகிறேன்."
p030,fear,"Please, make it stop!","ದಯವಿಟ್ಟು, ಇದನ್ನು ನಿಲ್ಲಿಸಿ!","कृपया, हे थांबवा!","தயவுசெய்து, அதை நிறுத்துங்கள்!"
p031,surprise,"Wow! I absolutely did not see that coming.","ವாவ்! ನಾನು ಇದನ್ನು ಖಂಡಿತವಾಗಿಯೂ ನಿರೀಕ್ಷಿಸಿರಲಿಲ್ಲ.","व्वा! मी हे अजिबात अपेक्षित केले नव्हते.","ஆஹா! நான் இதை முற்றிலும் எதிர்பார்க்கவில்லை."
p032,surprise,"You're here! I can't believe it!","ನೀನು ಇಲ್ಲಿದ್ದೀಯಾ! ನನಗೆ ನಂಬಲು ಸಾಧ್ಯವಿಲ್ಲ!","तू इथे आहेस! माझा विश्वासच बसत नाही!","நீ இங்க இருக்கிறாய்! என்னால் நம்ப முடியவில்லை!"
p033,surprise,"Is this for real? I'm speechless.","ಇದು ನಿಜವೇ? ನಾನು ಮೂಕನಾಗಿದ್ದೇನೆ.","हे खरे आहे का? मी निःशब्द आहे.","இது உண்மையா? நான் வாயடைத்துப் போனேன்."
p034,surprise,"That's the most astonishing thing I've ever seen.","ನಾನು ನೋಡಿದ ಅತ್ಯಂತ ಆಶ್ಚರ್ಯಕರ ವಿಷಯ ಇದು.","मी पाहिलेली ही सर्वात आश्चर्यकारक गोष्ट आहे.","நான் பார்த்ததிலேயே இது மிகவும் ஆச்சரியமான விஷயம்."
p035,surprise,"No way! You have to be kidding me.","ಸಾಧ್ಯವೇ ಇಲ್ಲ! ನೀನು ತಮಾಷೆ ಮಾಡುತ್ತಿರಬೇಕು.","अशक्य! तू नक्कीच मस्करी करत असशील.","வாய்ப்பே இல்லை! நீங்கள் என்னை கேலி செய்கிறீர்கள்."
p036,surprise,"My jaw literally dropped.","ನನ್ನ ದವಡೆ ನಿಜವಾಗಿಯೂ ಕೆಳಗೆ ಬಿತ್ತು.","माझा जबडा अक्षरशः खाली पडला.","என் தாடை உண்மையில் விழுந்தது."
p037,surprise,"Well, this is an unexpected turn of events.","ಸರಿ, ಇದು ಒಂದು ಅನಿರೀಕ್ಷಿತ ತಿರುವು.","बरं, ही एक अनपेक्षित घटना आहे.","சரி, இது ஒரு எதிர்பாராத திருப்பம்."
p038,surprise,"I'm completely blown away by this.","ನಾನು ಇದರಿಂದ ಸಂಪೂರ್ಣವಾಗಿ ಬೆರಗಾಗಿದ್ದೇನೆ.","मी यामुळे पूर्णपणे प्रभावित झालो आहे.","நான் இதனால் முற்றிலும் திகைத்துவிட்டேன்."
p039,surprise,"How on earth did you manage that?","ನೀನು ಇದನ್ನು ಹೇಗೆ ಸಾಧ್ಯ ಮಾಡಿದೆ?","तू हे कसे काय केलेस?","இதை எப்படி செய்தாய்?"
p040,surprise,"You did all this for me? I'm stunned.","ನನಗಾಗಿ ಇದೆಲ್ಲವನ್ನೂ ನೀನು ಮಾಡಿದ್ದೀಯಾ? ನಾನು ದಿಗ್ಭ್ರಮೆಗೊಂಡಿದ್ದೇನೆ.","तू हे सर्व माझ्यासाठी केलेस? मी स्तब्ध आहे.","எனக்காக இதையெல்லாம் செய்தீர்களா? நான் திகைத்துவிட்டேன்."
p041,sadness,"I just feel so empty inside.","ನನಗೆ ಒಳಗೆ ತುಂಬಾ ಖಾಲಿ ಅನಿಸುತ್ತಿದೆ.","मला आतून खूप रिकामे वाटते.","நான் உள்ளே மிகவும் காலியாக உணர்கிறேன்."
p042,sadness,"My heart aches with sorrow.","ನನ್ನ ಹೃದಯ ದುಃಖದಿಂದ ನೋಯುತ್ತಿದೆ.","माझे हृदय दुःखाने भरले आहे.","என் இதயம் துக்கத்தால் வலிக்கிறது."
p043,sadness,"I can't seem to stop crying today.","ಇಂದು ನನಗೆ ಅಳುವುದನ್ನು ನಿಲ್ಲಿಸಲು ಸಾಧ್ಯವಾಗುತ್ತಿಲ್ಲ.","आज माझे रडणे थांबतच नाहीये.","இன்று என்னால் அழுவதை நிறுத்த முடியவில்லை."
p044,sadness,"Everything just feels hopeless now.","ಈಗ ಎಲ್ಲವೂ ನಿರಾಶಾದಾಯಕವಾಗಿ ಕಾಣುತ್ತಿದೆ.","आता सर्व काही निराशाजनक वाटते.","எல்லாம் இப்போது நம்பிக்கையற்றதாக உணர்கிறது."
p045,sadness,"I miss the way things used to be.","ಹಿಂದಿನ ದಿನಗಳು ನನಗೆ ನೆನಪಾಗುತ್ತವೆ.","पूर्वी जसे होते तसे दिवस मला आठवतात.","பழைய நிலையை நான் இழக்கிறேன்."
p046,sadness,"It's hard to find a reason to smile.","ನಗಲು ಕಾರಣ ಹುಡುಕುವುದು ಕಷ್ಟ.","हसण्याचे कारण शोधणे कठीण आहे.","சிரிப்பதற்கு ஒரு காரணத்தைக் கண்டுபிடிப்பது கடினம்."
p047,sadness,"A heavy sadness has settled over me.","ಒಂದು ಭಾರವಾದ ದುಃಖ ನನ್ನ ಮೇಲೆ ಆವರಿಸಿದೆ.","माझ्यावर एक जड दुःख पसरले आहे.","ஒரு கனமான சோகம் என் மீது குடிகொண்டுள்ளது."
p048,sadness,"I just want to be left alone with my thoughts.","ನಾನು ನನ್ನ ಆಲೋಚನೆಗಳೊಂದಿಗೆ ಒಬ್ಬಂಟಿಯಾಗಿರಲು ಬಯಸುತ್ತೇನೆ.","मला माझ्या विचारांसोबत एकटे राहायचे आहे.","நான் என் எண்ணங்களுடன் தனியாக இருக்க விரும்புகிறேன்."
p049,sadness,"This is more than I can bear.","ಇದು ನನ್ನಿಂದ ಸಹಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ.","हे माझ्या सहनशक्तीच्या पलीकडचे आहे.","இது நான் தாங்கக்கூடியதை விட அதிகம்."
p050,sadness,"Nothing seems to matter anymore.","ಯಾವುದೂ ಇನ್ನು ಮುಖ್ಯವೆನಿಸುತ್ತಿಲ್ಲ.","आता कशाचेही महत्त्व वाटत नाही.","இனி எதுவும் முக்கியமில்லை."
p051,disgust,"Ugh, that smell is absolutely vile.","ಛೀ, ಆ ವಾಸನೆ ಸಂಪೂರ್ಣವಾಗಿ ಅಸಹ್ಯಕರವಾಗಿದೆ.","अरे, तो वास अगदी किळसवाणा आहे.","ఛీ, ఆ వాసన చాలా అసహ్యంగా ఉంది."
p052,disgust,"How could anyone behave like that? It's repulsive.","ಯಾರಾದರೂ ಹಾಗೆ ಹೇಗೆ ವರ್ತಿಸಬಹುದು? ಅದು ಅಸಹ್ಯಕರ.","कोणी असे कसे वागू शकते? हे घृणास्पद आहे.","யாராலும் அப்படி நடந்து கொள்ள முடியுமா? அது அருவருப்பானது."
p053,disgust,"I'm sickened by their dishonesty.","ಅವರ ಅಪ್ರಾಮಾಣಿಕತೆಯಿಂದ ನನಗೆ ವಾಕರಿಕೆ ಬಂದಿದೆ.","त्यांच्या अप्रामाणिकपणामुळे मला मळमळ होत आहे.","அவர்களின் நேர்மையின்மையால் நான் வெறுப்படைகிறேன்."
p054,disgust,"Get that filthy thing away from me.","ಆ ಕೊಳಕಾದ ವಸ್ತುವನ್ನು ನನ್ನಿಂದ ದೂರ ಇಡು.","ती घाणेरडी वस्तू माझ्यापासून दूर ठेव.","அந்த அசிங்கமான பொருளை என்னிடமிருந்து அப்புறப்படுத்து."
p055,disgust,"The very thought of it makes me want to gag.","ಅದರ ಯೋಚನೆಯೇ ನನಗೆ ವಾಂತಿ ಬರುವಂತೆ ಮಾಡುತ್ತದೆ.","त्याच्या विचारानेच मला ओकारी येते.","அதன் நினைவே என்னை குமட்ட வைக்கிறது."
p056,disgust,"That's just morally bankrupt.","ಅದು ಕೇವಲ ನೈತಿಕವಾಗಿ ದಿವಾಳಿಯಾಗಿದೆ.","ते निव्वळ नैतिकदृष्ट्या दिवाळखोर आहे.","அது தார்மீக ரீதியாக திவாலானது."
p057,disgust,"I can't believe what I'm seeing. It's grotesque.","ನಾನು ನೋಡುತ್ತಿರುವುದನ್ನು ನಂಬಲು ಸಾಧ್ಯವಿಲ್ಲ. ಇದು ವಿಕಾರವಾಗಿದೆ.","मी जे पाहत आहे त्यावर माझा विश्वास बसत नाही. ते विचित्र आहे.","நான் பார்ப்பதை நம்ப முடியவில்லை. இது வினோதமானது."
p058,disgust,"Their attitude is just revolting.","ಅವರ ವರ್ತನೆ ನಿಜವಾಗಿಯೂ ಅಸಹ್ಯಕರ.","त्यांची वृत्ती केवळ घृणास्पद आहे.","அவர்களின் அணுகுமுறை வெறுக்கத்தக்கது."
p059,disgust,"What a foul thing to say.","ಹೇಳಲು ಎಂಥಾ ಕೆಟ್ಟ ಮಾತು.","काय घाणेरडे बोलणे आहे.","சொல்வதற்கு என்ன ஒரு மோசமான வார்த்தை."
p060,disgust,"I want nothing to do with this mess.","ಈ ಗೊಂದಲದೊಂದಿಗೆ ನನಗೆ ಯಾವುದೇ ಸಂಬಂಧ ಬೇಡ.","मला या गोंधळाशी काहीही देणेघेणे नाही.","இந்தக் குழப்பத்தில் எனக்கு எந்தச் சம்பந்தமும் வேண்டாம்."
p061,anger,"I am absolutely furious with you!","ನನಗೆ ನಿನ್ನ ಮೇಲೆ ತುಂಬಾ ಕೋಪ ಬಂದಿದೆ!","मी तुझ्यावर खूप चिडलो आहे!","நான் உன் மீது மிகவும் கோபமாக இருக்கிறேன்!"
p062,anger,"How dare you speak to me like that!","ನನ್ನೊಂದಿಗೆ ಹಾಗೆ ಮಾತನಾಡಲು ನಿನಗೆ ಎಷ್ಟು ಧೈರ್ಯ!","माझ्याशी असे बोलण्याची तुझी हिंमत कशी झाली!","என்னிடம் அப்படிப் பேச உனக்கு எவ்வளவு தைரியம்!"
p063,anger,"I've had enough of these excuses.","ಈ ನೆಪಗಳನ್ನು ಕೇಳಿ ನನಗೆ ಸಾಕಾಗಿದೆ.","ही सबब ऐकून मी आता कंटाळलो आहे.","இந்த சாக்குப்போக்குகள் போதும்."
p064,anger,"This is the last straw!","ಇದೇ ಕೊನೆಯ ಎಚ್ಚರಿಕೆ!","हा शेवटचा इशारा आहे!","இதுதான் கடைசி எச்சரிக்கை!"
p065,anger,"Get out of my sight right now!","ಈಗಲೇ ನನ್ನ ಕಣ್ಣಮುಂದೆಯಿಂದ ತೊಲಗು!","आत्ताच्या आत्ता माझ्या नजरेसमोरून दूर हो!","என் பார்வையிலிருந்து உடனே போய்விடு!"
p066,anger,"This injustice makes my blood boil.","ಈ ಅನ್ಯಾಯ ನನ್ನ ರಕ್ತವನ್ನು ಕುದಿಸುತ್ತದೆ.","या अन्यायाने माझे रक्त खवळते.","இந்த அநீதி என் இரத்தத்தைக் கொதிக்க வைக்கிறது."
p067,anger,"You have crossed a serious line.","ನೀನು ಗಂಭೀರವಾದ ಗೆರೆಯನ್ನು ದಾಟಿದ್ದೀಯ.","तू एक गंभीर मर्यादा ओलांडली आहेस.","நீங்கள் ஒரு தீவிரமான எல்லையைத் தாண்டிவிட்டீர்கள்."
p068,anger,"Don't you ever do that again!","ನೀನು ಇನ್ನೆಂದೂ ಹಾಗೆ ಮಾಡಬೇಡ!","पुन्हा कधीही असे करू नकोस!","இனி ஒருபோதும் அப்படிச் செய்யாதே!"
p069,anger,"I am so tired of being ignored.","ಕಡೆಗಣಿಸಲ್ಪಟ್ಟು ನಾನು ತುಂಬಾ ಬೇಸತ್ತಿದ್ದೇನೆ.","दुर्लक्ष केल्यामुळे मी खूप थकलो आहे.","புறக்கணிக்கப்பட்டு நான் மிகவும் சோர்வடைந்துவிட்டேன்."
p070,anger,"This is completely unacceptable!","ಇದು ಸಂಪೂರ್ಣವಾಗಿ ಸ್ವೀಕಾರಾರ್ಹವಲ್ಲ!","हे पूर्णपणे अस्वीकार्य आहे!","இது முற்றிலும் ஏற்றுக்கொள்ள முடியாதது!"
p071,anticipation,"I can't wait to see what happens next.","ಮುಂದೆ ಏನಾಗುತ್ತದೆ ಎಂದು ನೋಡಲು ನಾನು ಕಾಯಲು ಸಾಧ್ಯವಿಲ್ಲ.","पुढे काय होते ते पाहण्यासाठी मी थांबू शकत नाही.","அடுத்து என்ன நடக்கும் என்று பார்க்க என்னால் காத்திருக்க முடியவில்லை."
p072,anticipation,"The big day is almost here!","ಆ ದೊಡ್ಡ ದಿನ ಬಹುತೇಕ ಬಂದೇ ಬಿಟ್ಟಿದೆ!","तो मोठा दिवस जवळजवळ आला आहे!","பெரிய நாள் கிட்டத்தட்ட வந்துவிட்டது!"
p073,anticipation,"I'm on the edge of my seat waiting.","ನಾನು ಕುತೂಹಲದಿಂದ ಕಾಯುತ್ತಿದ್ದೇನೆ.","मी उत्सुकतेने वाट पाहत आहे.","நான் என் இருக்கையின் நுனியில் காத்திருக்கிறேன்."
p074,anticipation,"Any minute now, it's going to be announced.","ಯಾವುದೇ ನಿಮಿಷದಲ್ಲಿ, ಅದನ್ನು ಘೋಷಿಸಲಾಗುವುದು.","कोणत्याही क्षणी, त्याची घोषणा केली जाईल.","எந்த நிமிடத்திலும், அது அறிவிக்கப்படப் போகிறது."
p075,anticipation,"The suspense is killing me!","ಈ ಕುತೂಹಲ ನನ್ನನ್ನು ಕೊಲ್ಲುತ್ತಿದೆ!","ही उत्सुकता मला मारून टाकत आहे!","இந்த சஸ்பென்ஸ் என்னைக் கொல்கிறது!"
p076,anticipation,"I'm counting down the hours.","ನಾನು ಗಂಟೆಗಳನ್ನು ಎಣಿಸುತ್ತಿದ್ದೇನೆ.","मी तास मोजत आहे.","நான் மணிநேரங்களைக் கணக்கிடுகிறேன்."
p077,anticipation,"I wonder what the surprise will be.","ಆಶ್ಚರ್ಯ ಏನಾಗಿರಬಹುದು ಎಂದು ನಾನು ಯೋಚಿಸುತ್ತಿದ್ದೇನೆ.","आश्चर्य काय असेल याचा मला विचार पडला आहे.","ஆச்சரியம் என்னவாக இருக்கும் என்று நான் யோசிக்கிறேன்."
p078,anticipation,"Something wonderful is about to happen.","ಏನೋ ಅದ್ಭುತವಾದದ್ದು ಸಂಭವಿಸಲಿದೆ.","काहीतरी अद्भुत घडणार आहे.","அద్భుதமான ஒன்று நடக்கப் போகிறது."
p079,anticipation,"Is it time yet? I'm so ready.","ಇನ್ನೂ ಸಮಯವಾಗಿಲ್ಲವೇ? ನಾನು ತುಂಬಾ ಸಿದ್ಧನಾಗಿದ್ದೇನೆ.","अजून वेळ झाली नाही का? मी खूप तयार आहे.","இன்னும் நேரமாகவில்லையா? நான் மிகவும் தயாராக இருக்கிறேன்."
p080,anticipation,"I've been looking forward to this all year.","ನಾನು ವರ್ಷವಿಡೀ ಇದಕ್ಕಾಗಿ ಎದುರು ನೋಡುತ್ತಿದ್ದೆ.","मी वर्षभर याची वाट पाहत होतो.","நான் ஆண்டு முழுவதும் இதை எதிர்பார்த்துக் கொண்டிருந்தேன்."
p081,joy,"This is exactly what I wanted!","ನನಗೆ ಬೇಕಾಗಿದ್ದೇ ಇದು!","हेच तर मला हवे होते!","இதுதான் நான் விரும்பியது!"
p082,joy,"I'm so proud of what we've accomplished.","ನಾವು ಸಾಧಿಸಿದ್ದರ ಬಗ್ಗೆ ನನಗೆ ತುಂಬಾ ಹೆಮ್ಮೆ ಇದೆ.","आपण जे साध्य केले आहे त्याचा मला खूप अभिमान आहे.","நாம் சாதித்ததைப் பற்றி நான் மிகவும் பெருமைப்படுகிறேன்."
p083,joy,"Every single moment with you is a treasure.","ನಿನ್ನೊಂದಿಗಿನ ಪ್ರತಿಯೊಂದು ಕ್ಷಣವೂ ಒಂದು ನಿಧಿ.","तुझ्यासोबतचा प्रत्येक क्षण एक ठेवा आहे.","உன்னுடன் இருக்கும் ஒவ்வொரு கணமும் ஒரு புதையல்."
p084,joy,"My spirit feels so uplifted!","ನನ್ನ ಆತ್ಮಕ್ಕೆ ತುಂಬಾ ಉಲ್ಲಾಸವಾಗಿದೆ!","माझा आत्मा खूप उत्साही झाला आहे!","என் ஆன்மா மிகவும் உற்சாகமாக உணர்கிறது!"
p085,joy,"We did it! We actually did it!","ನಾವು ಮಾಡಿದೆವು! ನಾವು ನಿಜವಾಗಿಯೂ ಮಾಡಿದೆವು!","आपण ते केले! आपण खरोखरच ते केले!","நாம் செய்துவிட்டோம்! நாம் உண்மையில் அதை செய்துவிட்டோம்!"
p086,joy,"This feels like a dream come true.","ಇದು ಒಂದು ಕನಸು ನನಸಾದಂತೆ ಭಾಸವಾಗುತ್ತಿದೆ.","हे एका स्वप्नपूर्तीसारखे वाटते.","இது ஒரு கனவு நனவானது போல் உணர்கிறேன்."
p087,joy,"I'm beaming from ear to ear!","ನಾನು ಸಂತೋಷದಿಂದ ಹಿಗ್ಗುತ್ತಿದ್ದೇನೆ!","मी आनंदाने फुलून गेलो आहे!","நான் காது முதல் காது வரை சிரிக்கிறேன்!"
p088,joy,"This is simply magnificent.","ಇದು ಸರಳವಾಗಿ ಅದ್ಭುತವಾಗಿದೆ.","हे केवळ भव्य आहे.","இது வெறுமனே அற்புதமானது."
p089,joy,"What a perfect day this has been.","ಇದು ಎಂತಹ ಪರಿಪೂರ್ಣ ದಿನವಾಗಿತ್ತು.","हा किती परिपूर्ण दिवस होता.","என்ன ஒரு சரியான நாள் இது."
p090,joy,"Happiness is flowing through me right now.","ಸಂತೋಷವು ಈಗ ನನ್ನಲ್ಲಿ ಹರಿಯುತ್ತಿದೆ.","आनंद माझ्या नसानसात वाहत आहे.","மகிழ்ச்சி இப்போது என் வழியாகப் பாய்கிறது."
p091,trust,"I trust your instincts completely.","ನಾನು ನಿಮ್ಮ ಸಹಜ ಪ್ರವೃತ್ತಿಯನ್ನು ಸಂಪೂರ್ಣವಾಗಿ ನಂಬುತ್ತೇನೆ.","मी तुझ्या अंतर्ज्ञानावर पूर्णपणे विश्वास ठेवतो.","நான் உங்கள் உள்ளுணர்வை முழுமையாக நம்புகிறேன்."
p092,trust,"You are the one person I can always be honest with.","ನೀನು ಒಬ್ಬನೇ ವ್ಯಕ್ತಿ, ಯಾರ ಬಳಿ ನಾನು ಯಾವಾಗಲೂ ಪ್ರಾಮಾಣಿಕವಾಗಿರಬಲ್ಲೆ.","तूच एक अशी व्यक्ती आहेस ज्याच्याशी मी नेहमी प्रामाणिक राहू शकतो.","நான் எப்போதும் நேர்மையாக இருக்கக்கூடிய ஒரே நபர் நீங்கள்தான்."
p093,trust,"I feel secure knowing you're in charge.","ನೀನು ಜವಾಬ್ದಾರಿಯಲ್ಲಿರುವುದರಿಂದ ನನಗೆ ಸುರಕ್ಷಿತವೆನಿಸುತ್ತದೆ.","तू जबाबदारी सांभाळत आहेस हे जाणून मला सुरक्षित वाटते.","நீங்கள் பொறுப்பில் இருப்பதை அறிந்து நான் பாதுகாப்பாக உணர்கிறேன்."
